stim_type,stim_position
heart,right
heart,right
heart,right
heart,right
heart,right
heart,right
heart,right
heart,right
heart,right
heart,right
heart,right
heart,right
heart,left
heart,left
heart,left
heart,left
heart,left
heart,left
heart,left
heart,left
heart,left
heart,left
heart,left
heart,left
