stim_type,stim_position
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,left
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
flower,right
